t,x,err
53670,0.01156164,0.00888424
53671,0.00191996,0.00072388
53672,0.00182423,0.00067766
53673,0.00084733,0.00071499
53674,0.00070584,0.00072026
53675,0.00034497,0.00099297
53676,0.00110704,0.00100974
53677,-0.00167037,0.00113475
53678,0.00170546,0.00122827
53679,-0.00162242,0.00275086
53680,0.00153297,0.00118872
53681,0.00227371,0.00100222
53682,0.00167906,0.00072273
53683,0.00290213,0.00123442
53684,0.00130460,0.00081163
53685,-0.00053008,0.00131316
53686,-0.00004029,0.00125536
53687,-0.00113266,0.00079807
53688,0.00121546,0.00073178
53689,0.00229972,0.00144141
53690,0.00069104,0.00125798
53691,0.00103776,0.00116009
53697,-0.00075134,0.00115390
53698,-0.00362736,0.00298149
53700,0.00194767,0.00287261
53701,0.00137312,0.00064938
53702,0.00298797,0.00087041
53703,0.00204413,0.00214648
53704,-0.00065838,0.00371429
53706,0.00049168,0.00194730
53711,0.00083934,0.00086496
53712,-0.00011957,0.00390239
53714,0.00097378,0.00189089
53715,0.00359866,0.00146164
53717,-0.00011764,0.00135566
53718,0.00004718,0.00065454
53719,0.00116758,0.00088662
53720,0.00115854,0.00106028
53721,0.00149839,0.00099251
53722,0.00292092,0.00144359
53723,0.00255940,0.00361280
53724,0.00099466,0.00068619
53725,0.00140090,0.00096135
53728,0.00693185,0.00224681
53729,0.00474954,0.00084831
53730,0.00358606,0.00061194
53731,0.00377039,0.00095678
53732,0.00232141,0.00064574
53733,0.00489024,0.00082885
53734,0.00235475,0.00086532
53735,0.00233657,0.00065690
53737,0.00241982,0.00064856
53738,0.00568184,0.00070767
53739,0.00509633,0.00058003
53740,0.00432336,0.00061629
53741,0.00185601,0.00120266
53742,0.00215487,0.00049982
53743,0.00162616,0.00050061
53744,0.00213363,0.00086369
53745,0.00063040,0.00055233
53746,0.00007031,0.00063041
53747,-0.00015287,0.00071642
53748,0.00019675,0.00093965
53749,0.00256626,0.00386073
53750,-0.00296579,0.00213345
53751,0.00619407,0.00650124
53755,0.00091250,0.00133968
53756,0.00092921,0.00260949
53757,0.00084553,0.00060873
53758,0.00086729,0.00072323
53759,0.00112444,0.00055066
53760,0.00124247,0.00048709
53761,0.00150966,0.00045957
53762,0.00144788,0.00044401
53763,0.00216354,0.00052288
53764,0.00176958,0.00044718
53765,0.00348582,0.00069603
53766,0.00126301,0.00046809
53767,0.00043563,0.00051664
53768,0.00187282,0.00049591
53769,0.00105413,0.00061075
53770,0.00194253,0.00109128
53771,-0.00214002,0.00239777
