t,x,error
54682.6562,0.000256735424,6.83792314E-05
54689.6562,0.00024252107,6.46666449E-05
54696.6562,0.000262039335,8.47178017E-05
54703.6562,0.000652635528,1.01941769E-04
54710.6562,0.000247430638,4.88223523E-05
54717.6562,0.000281328277,5.81277345E-05
54724.6562,0.00024771766,6.08122937E-05
54731.6562,0.000293609075,6.65629195E-05
54738.6562,0.000202936586,6.05728237E-05
54745.6562,0.000217924055,6.01066495E-05
54752.6562,0.000206080673,4.77413632E-05
54759.6562,0.000285022194,6.43845269E-05
54766.6562,0.000247374031,5.61579982E-05
54773.6562,0.000210950093,4.37656090E-05
54780.6562,0.000198392619,4.98454392E-05
54787.6562,0.00013792864,4.25139151E-05
54794.6562,0.000356403762,8.76767881E-05
54801.6562,0.000400352932,1.47557381E-04
54808.6562,0.000264811679,6.64081817E-05
54815.6562,0.000160783267,2.32680268E-05
54822.6562,0.000205696444,4.99896596E-05
54829.6562,0.00022559418,4.62444186E-05
54836.6562,0.000463644799,9.84822400E-05
54843.6562,0.000200450973,5.74160076E-05
54850.6562,0.000272088015,5.75738195E-05
54857.6562,0.00025706194,7.13841509E-05
54864.6562,0.00023733548,6.09616145E-05
54871.6562,0.000226105447,5.30495599E-05
54878.6562,0.000341086357,6.83833205E-05
54885.6562,0.000211908395,5.33317871E-05
54892.6562,0.000197941205,5.61984380E-05
54899.6562,0.000160239797,1.22110025E-04
54906.6562,0.000151013664,5.65970913E-05
54913.6562,0.000171510168,3.66468885E-05
54920.6562,0.000220059534,5.66121671E-05
54927.6562,0.000305730791,5.81213208E-05
54934.6562,0.000270514429,6.11423311E-05
54941.6562,0.000289632124,6.55867698E-05
54948.6562,0.000169930921,3.67821376E-05
54955.6562,0.00017391704,4.44134057E-05
54962.6562,0.000460875861,1.00577105E-04
54969.6562,0.000468536397,8.25099269E-05
54976.6562,0.00017571995,3.01398613E-05
54983.6562,0.000355478085,6.11623545E-05
54990.6562,0.000330669514,5.57081585E-05
54997.6562,0.000246256561,6.02769105E-05
