t,x,error
54473.3010069,0.469896353765,0.0225204131487
54475.2950926,0.458562186406,0.0237937801386
54475.2959954,0.467779510135,0.0140931594783
54479.2836343,0.460384005620,0.0198097042617
54479.2845486,0.462996864973,0.0128131176038
54485.2677546,0.480464604586,0.0117986187458
54485.2686574,0.469291894602,0.0189580104517
54487.2624074,0.473067610661,0.0117208422961
54487.2633102,0.457469144516,0.0302184895882
54495.2400810,0.475588920775,0.0506271135788
54495.2409838,0.459227127768,0.0521552588204
54497.2350231,0.491271302313,0.0106991149682
54497.2359259,0.481589963875,0.0266893377244
54503.2181597,0.497259920278,0.0164137142996
54503.2190625,0.497138997623,0.0115392225136
54505.2133796,0.487189243160,0.0114014986134
54505.2142940,0.494144505729,0.0168802226229
54507.2077894,0.484507980088,0.0235378185436
54507.2086921,0.488867307598,0.0521289632712
54545.1037269,0.467653915997,0.0324725461093
54545.1046296,0.473172129377,0.0100561556291
54547.0989352,0.483585816534,0.0455692657355
54549.0927662,0.493375645004,0.0112611071808
54549.0936806,0.494038016271,0.0291419027535
54553.0820370,0.475677653569,0.0115004769922
54553.0829398,0.479014377798,0.0183848918986
54557.0707523,0.460378840183,0.0101335297291
54557.0716551,0.469601705949,0.0103682122621
54584.9952083,0.375416862764,0.0694518589747
54584.9962037,0.458829907385,0.0507180011737
54600.9507755,0.483986474433,0.0721300942908
54600.9517014,0.492453414812,0.0420640952395
54602.9453125,0.473247990961,0.0106406617777
54602.9462269,0.462083672244,0.0212814003921
54604.9396296,0.485720739868,0.0145426673456
54604.9405787,0.470534480861,0.0511042515702
54617.9043750,0.492010281589,0.0209282202920
54617.9053009,0.497380118136,0.0222536114407
54619.8986806,0.468135419875,0.0191973924662
54619.8996065,0.485581596611,0.0286704465807
54622.8908333,0.468138079871,0.0212219546351
54622.8917593,0.455175564453,0.0145880473838
54626.8798032,0.443255504452,0.0422215155968
54626.8807176,0.458355436451,0.0141882802776
54628.8746296,0.469115827887,0.0144940773848
54628.8755324,0.456195169010,0.0101489115839
54632.8639352,0.464006429115,0.0360397440673
54632.8648611,0.450818442104,0.0252410624423
54665.7736343,0.459107011801,0.0398241079889
54665.7745602,0.457297970418,0.0106890586580
54692.7068634,0.434714605726,0.0098892122380
54692.7077894,0.442662419603,0.0136196896173
54693.7113194,0.439038701324,0.0447301765862
54694.7015278,0.431878163969,0.0318721424321
54694.7024653,0.446294678817,0.0333154497641
54695.7048611,0.460044347347,0.0147312298722
54696.6961921,0.436014540497,0.0313365630030
